あいちけん,アイチケン
あおもりけん,アオモリケン
あきたけん,アキタケン
いしかわけん,イシカワケン
いばらきけん,イバラキケン
いわてけん,イワテケン
えひめけん,エヒメケン
おおいたけん,オオイタケン
おおさかふ,オオサカフ
おかやまけん,オカヤマケン
おきなわけん,オキナワケン
かがわけん,カガワケン
かごしまけん,カゴシマケン
かながわけん,カナガワケン
ぎふけん,ギフケン
きょうとふ,キョウトフ
くまもとけん,クマモトケン
ぐんまけん,グンマケン
こうちけん,コウチケン
さいたまけん,サイタマケン
さがけん,サガケン
しがけん,シガケン
しずおかけん,シズオカケン
しまねけん,シマネケン
ちばけん,チバケン
とうきょうと,トウキョウト
とくしまけん,トクシマケン
とちぎけん,トチギケン
とっとりけん,トットリケン
とやまけん,トヤマケン
ながさきけん,ナガサキケン
ながのけん,ナガノケン
ならけん,ナラケン
にいがたけん,ニイガタケン
ひょうごけん,ヒョウゴケン
ひろしまけん,ヒロシマケン
ふくいけん,フクイケン
ふくおかけん,フクオカケン
ふくしまけん,フクシマケン
ほっかいどう,ホッカイドウ
みえけん,ミエケン
みやぎけん,ミヤギケン
みやざきけん,ミヤザキケン
やまがたけん,ヤマガタケン
やまぐちけん,ヤマグチケン
やまなしけん,ヤマナシケン
わかやまけん,ワカヤマケン
