イトウ　ヒロブミ,いとう　ひろぶみ
クロダ　キヨタカ,くろだ　きよたか
ヤマガタ　アリトモ,やまがた　ありとも
マツカタ　マサヨシ,まつかた　まさよし
オオクマ　シゲノブ,おおくま　しげのぶ
カツラ　タロウ,かつら　たろう
サイオンジ　キンモチ,さいおんじ　きんもち
ヤマモト　ゴンベエ,やまもと　ごんべえ
テラウチ　マサタケ,てらうち　まさたけ
ハラ　タカシ,はら　たかし
タカハシ　コレキヨ,たかはし　これきよ
カトウ　トモサブロウ,かとう　ともさぶろう
キヨウラ　ケイゴ,きようら　けいご
カトウ　タカアキ,かとう　たかあき
ワカツキ　レイジロウ,わかつき　れいじろう
タナカ　ギイチ,たなか　ぎいち
ハマグチ　オサチ,はまぐち　おさち
イヌカイ　ツヨシ,いぬかい　つよし
サイトウ　マコト,さいとう　まこと
オカダ　ケイスケ,おかだ　けいすけ
ヒロタ　コウキ,ひろた　こうき
ハヤシ　センジュウロウ,はやし　せんじゅうろう
コノエ　フミマロ,このえ　ふみまろ
ヒラヌマ　キイチロウ,ひらぬま　きいちろう
アベ　ノブユキ,あべ　のぶゆき
ヨナイ　ミツマサ,よない　みつまさ
トウジョウ　ヒデキ,とうじょう　ひでき
コイソ　クニアキ,こいそ　くにあき
スズキ　カンタロウ,すずき　かんたろう
ヒガシクニノミヤ　ナルヒコオウ,ひがしくにのみや　なるひこおう
シデハラ　キジュウロウ,しではら　きじゅうろう
ヨシダ　シゲル,よしだ　しげる
カタヤマ　テツ,かたやま　てつ
アシダ　ヒトシ,あしだ　ひとし
ハトヤマ　イチロウ,はとやま　いちろう
イシバシ　タンザン,いしばし　たんざん
キシ　ノブスケ,きし　のぶすけ
イケダ　ハヤト,いけだ　はやと
サトウ　エイサク,さとう　えいさく
タナカ　カクエイ,たなか　かくえい
ミキ　タケオ,みき　たけお
フクダ　タケオ,ふくだ　たけお
オオヒラ　マサヨシ,おおひら　まさよし
スズキ　ゼンコウ,すずき　ぜんこう
ナカソネ　ヤスヒロ,なかそね　やすひろ
タケシタ　ノボル,たけした　のぼる
ウノ　ソウスケ,うの　そうすけ
カイフ　トシキ,かいふ　としき
ミヤザワ　キイチ,みやざわ　きいち
ホソカワ　モリヒロ,ほそかわ　もりひろ
ハタ　ツトム,はた　つとむ
ムラヤマ　トミイチ,むらやま　とみいち
ハシモト　リュウタロウ,はしもと　りゅうたろう
オブチ　ケイゾウ,おぶち　けいぞう
モリ　ヨシロウ,もり　よしろう
コイズミ　ジュンイチロウ,こいずみ　じゅんいちろう
アベ　シンゾウ,あべ　しんぞう
フクダ　ヤスオ,ふくだ　やすお
アソウ　タロウ,あそう　たろう
ハトヤマ　ユキオ,はとやま　ゆきお
カン　ナオト,かん　なおと
ノダ　ヨシヒコ,のだ　よしひこ
スガ　ヨシヒデ,すが　よしひで
キシダ　フミオ,きしだ　ふみお
