伊藤　博文,いとう　ひろぶみ,イトウ　ヒロブミ
黒田　清隆,くろだ　きよたか,クロダ　キヨタカ
山縣　有朋,やまがた　ありとも,ヤマガタ　アリトモ
松方　正義,まつかた　まさよし,マツカタ　マサヨシ
伊藤　博文,いとう　ひろぶみ,イトウ　ヒロブミ
松方　正義,まつかた　まさよし,マツカタ　マサヨシ
伊藤　博文,いとう　ひろぶみ,イトウ　ヒロブミ
大隈　重信,おおくま　しげのぶ,オオクマ　シゲノブ
山縣　有朋,やまがた　ありとも,ヤマガタ　アリトモ
伊藤　博文,いとう　ひろぶみ,イトウ　ヒロブミ
桂　太郎,かつら　たろう,カツラ　タロウ
西園寺　公望,さいおんじ　きんもち,サイオンジ　キンモチ
桂　太郎,かつら　たろう,カツラ　タロウ
西園寺　公望,さいおんじ　きんもち,サイオンジ　キンモチ
桂　太郎,かつら　たろう,カツラ　タロウ
山本　権兵衛,やまもと　ごんべえ,ヤマモト　ゴンベエ
大隈　重信,おおくま　しげのぶ,オオクマ　シゲノブ
寺内　正毅,てらうち　まさたけ,テラウチ　マサタケ
原　敬,はら　たかし,ハラ　タカシ
高橋　是清,たかはし　これきよ,タカハシ　コレキヨ
加藤　友三郎,かとう　ともさぶろう,カトウ　トモサブロウ
山本　権兵衛,やまもと　ごんべえ,ヤマモト　ゴンベエ
清浦　奎吾,きようら　けいご,キヨウラ　ケイゴ
加藤　高明,かとう　たかあき,カトウ　タカアキ
若槻　礼次郎,わかつき　れいじろう,ワカツキ　レイジロウ
田中　義一,たなか　ぎいち,タナカ　ギイチ
浜口　雄幸,はまぐち　おさち,ハマグチ　オサチ
若槻　礼次郎,わかつき　れいじろう,ワカツキ　レイジロウ
犬養　毅,いぬかい　つよし,イヌカイ　ツヨシ
斎藤　実,さいとう　まこと,サイトウ　マコト
岡田　啓介,おかだ　けいすけ,オカダ　ケイスケ
広田　弘毅,ひろた　こうき,ヒロタ　コウキ
林　銑十郎,はやし　せんじゅうろう,ハヤシ　センジュウロウ
近衛　文麿,このえ　ふみまろ,コノエ　フミマロ
平沼　騏一郎,ひらぬま　きいちろう,ヒラヌマ　キイチロウ
阿部　信行,あべ　のぶゆき,アベ　ノブユキ
米内　光正,よない　みつまさ,ヨナイ　ミツマサ
近衛　文麿,このえ　ふみまろ,コノエ　フミマロ
近衛　文麿,このえ　ふみまろ,コノエ　フミマロ
東條　英機,とうじょう　ひでき,トウジョウ　ヒデキ
小磯　国昭,こいそ　くにあき,コイソ　クニアキ
鈴木　貫太郎,すずき　かんたろう,スズキ　カンタロウ
東久邇宮　稔彦王,ひがしくにのみや　なるひこおう,ヒガシクニノミヤ　ナルヒコオウ
幣原　喜重郎,しではら　きじゅうろう,シデハラ　キジュウロウ
吉田　茂,よしだ　しげる,ヨシダ　シゲル
片山　哲,かたやま　てつ,カタヤマ　テツ
芦田　均,あしだ　ひとし,アシダ　ヒトシ
吉田　茂,よしだ　しげる,ヨシダ　シゲル
吉田　茂,よしだ　しげる,ヨシダ　シゲル
吉田　茂,よしだ　しげる,ヨシダ　シゲル
吉田　茂,よしだ　しげる,ヨシダ　シゲル
鳩山　一郎,はとやま　いちろう,ハトヤマ　イチロウ
鳩山　一郎,はとやま　いちろう,ハトヤマ　イチロウ
鳩山　一郎,はとやま　いちろう,ハトヤマ　イチロウ
石橋　湛山,いしばし　たんざん,イシバシ　タンザン
岸　信介,きし　のぶすけ,キシ　ノブスケ
岸　信介,きし　のぶすけ,キシ　ノブスケ
池田　勇人,いけだ　はやと,イケダ　ハヤト
池田　勇人,いけだ　はやと,イケダ　ハヤト
池田　勇人,いけだ　はやと,イケダ　ハヤト
佐藤　栄作,さとう　えいさく,サトウ　エイサク
佐藤　栄作,さとう　えいさく,サトウ　エイサク
佐藤　栄作,さとう　えいさく,サトウ　エイサク
田中　角栄,たなか　かくえい,タナカ　カクエイ
田中　角栄,たなか　かくえい,タナカ　カクエイ
三木　武夫,みき　たけお,ミキ　タケオ
福田　赳夫,ふくだ　たけお,フクダ　タケオ
大平　正芳,おおひら　まさよし,オオヒラ　マサヨシ
大平　正芳,おおひら　まさよし,オオヒラ　マサヨシ
鈴木　善幸,すずき　ぜんこう,スズキ　ゼンコウ
中曽根　康弘,なかそね　やすひろ,ナカソネ　ヤスヒロ
中曽根　康弘,なかそね　やすひろ,ナカソネ　ヤスヒロ
中曽根　康弘,なかそね　やすひろ,ナカソネ　ヤスヒロ
竹下　登,たけした　のぼる,タケシタ　ノボル
宇野　宗佑,うの　そうすけ,ウノ　ソウスケ
海部　俊樹,かいふ　としき,カイフ　トシキ
海部　俊樹,かいふ　としき,カイフ　トシキ
宮澤　喜一,みやざわ　きいち,ミヤザワ　キイチ
細川　護熙,ほそかわ　もりひろ,ホソカワ　モリヒロ
羽田　孜,はた　つとむ,ハタ　ツトム
村山　富市,むらやま　とみいち,ムラヤマ　トミイチ
橋本　龍太郎,はしもと　りゅうたろう,ハシモト　リュウタロウ
橋本　龍太郎,はしもと　りゅうたろう,ハシモト　リュウタロウ
小渕　恵三,おぶち　けいぞう,オブチ　ケイゾウ
森　喜朗,もり　よしろう,モリ　ヨシロウ
森　喜朗,もり　よしろう,モリ　ヨシロウ
小泉　純一郎,こいずみ　じゅんいちろう,コイズミ　ジュンイチロウ
小泉　純一郎,こいずみ　じゅんいちろう,コイズミ　ジュンイチロウ
小泉　純一郎,こいずみ　じゅんいちろう,コイズミ　ジュンイチロウ
安倍　晋三,あべ　しんぞう,アベ　シンゾウ
福田　康夫,ふくだ　やすお,フクダ　ヤスオ
麻生　太郎,あそう　たろう,アソウ　タロウ
鳩山　由紀夫,はとやま　ゆきお,ハトヤマ　ユキオ
菅　直人,かん　なおと,カン　ナオト
野田　佳彦,のだ　よしひこ,ノダ　ヨシヒコ
安倍　晋三,あべ　しんぞう,アベ　シンゾウ
安倍　晋三,あべ　しんぞう,アベ　シンゾウ
安倍　晋三,あべ　しんぞう,アベ　シンゾウ
菅　義偉,すが　よしひで,スガ　ヨシヒデ
岸田　文雄,きしだ　ふみお,キシダ　フミオ
岸田　文雄,きしだ ふみお,キシダ フミオ
